n,k,comparisons
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,375,1520
500,500,1471
500,500,1471
500,500,1471
500,500,1471
500,500,1471
500,500,1471
500,500,1471
500,500,1471
500,500,1471
500,500,1471
500,500,1471
500,500,1471
500,500,1471
500,500,1471
500,500,1471
500,500,1471
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
500,500,1401
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1817
600,1,1722
600,1,1722
600,1,1722
600,1,1722
600,1,1722
600,1,1722
600,1,1722
600,1,1722
600,1,1722
600,1,1722
600,1,1722
600,1,1722
600,1,1722
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,150,1709
600,300,1749
600,300,1749
600,300,1749
600,300,1749
600,300,1749
600,300,1749
600,300,1749
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,300,1577
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1660
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,450,1755
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1779
600,600,1719
600,600,1719
600,600,1719
600,600,1719
600,600,1719
600,600,1719
600,600,1719
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,1,2030
700,175,2036
700,175,2036
700,175,2036
700,175,2036
700,175,2036
700,175,2036
700,175,2036
700,175,2036
700,175,2036
700,175,2036
700,175,2036
700,175,2036
700,175,2036
700,175,2036
700,175,2036
700,175,2036
700,175,2036
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,175,2114
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,2129
700,350,1951
700,350,1951
700,350,1951
700,350,1951
700,350,1951
700,350,1951
700,350,1951
700,350,1951
700,350,1951
700,350,1951
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,525,1431
700,700,1883
700,700,1883
700,700,1883
700,700,1883
700,700,1883
700,700,1883
700,700,1883
700,700,1883
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
700,700,1928
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2262
800,1,2482
800,1,2482
800,1,2482
800,1,2482
800,1,2482
800,1,2482
800,1,2482
800,1,2482
800,1,2482
800,1,2482
800,1,2482
800,1,2482
800,1,2482
800,1,2482
800,1,2482
800,1,2482
800,1,2482
800,1,2482
800,1,2482
800,1,2482
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
