n,k,comparisons,swaps
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,200,1066,728
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,1217,793
400,300,920,384
400,300,920,384
400,300,920,384
400,300,920,384
400,300,920,384
400,300,920,384
400,300,920,384
400,300,920,384
400,300,920,384
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
400,400,963,394
500,1,982,494
500,1,982,494
500,1,982,494
500,1,982,494
500,1,982,494
500,1,982,494
500,1,982,494
500,1,982,494
500,1,982,494
500,1,982,494
500,1,982,494
500,1,673,183
500,1,673,183
500,1,673,183
500,1,673,183
500,1,673,183
500,1,673,183
500,1,673,183
500,1,673,183
500,1,673,183
500,1,673,183
500,1,673,183
500,1,673,183
500,1,673,183
500,1,673,183
500,1,673,183
500,1,673,183
500,1,673,183
500,1,673,183
500,1,673,183
500,1,673,183
500,1,673,183
500,1,673,183
500,1,673,183
500,1,1128,589
500,1,1128,589
500,1,1128,589
500,1,1128,589
500,1,1128,589
500,1,1128,589
500,1,1128,589
500,1,1128,589
500,1,1128,589
500,1,1128,589
500,1,1128,589
500,1,1128,589
500,1,1128,589
500,1,1128,589
500,1,1128,589
500,1,1128,589
500,125,1723,761
500,125,1723,761
500,125,1723,761
500,125,1723,761
500,125,1723,761
500,125,1723,761
500,125,1723,761
500,125,1723,761
500,125,1723,761
500,125,1723,761
500,125,1723,761
500,125,1723,761
500,125,1723,761
500,125,1723,761
500,125,1723,761
500,125,1723,761
500,125,1723,761
500,125,1723,761
500,125,1723,761
500,125,1723,761
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
